round_epochs,val_loss,val_f1K,auroc,val_auroc,f1K,acc,loss,val_acc,l1act,l4nn,l3reg,l4act,l0nn,l0act,l4reg,l3nn,loss,l1reg,l5act,w,l2nn,l3act,l5nn,l1nn,batch_size,l2act,l2reg,lr,epochs,nl,l0reg,l5reg
20,0.39510316034604254,0.49790564,0.91572285,0.7925371,0.6226282,0.9122559,0.3527919196421183,0.88467634,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.0108,tanh,20,100,6,None,None
40,0.3658904933630239,0.55173284,0.9112199,0.796008,0.61522514,0.90942544,0.3625522934104915,0.9100396,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.0311,tanh,40,100,6,None,None
40,1.59051796199466,0.0,0.5,0.5,0.0,0.9044438,7.9493359026678085,0.901321,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.055749999999999994,tanh,40,100,6,None,None
40,14.369205922085197,0.1768291,0.5,0.5,0.17475778,0.095556185,8.07298730015586,0.098679,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.1384,tanh,40,100,6,None,None
20,0.45170934567205817,0.4761907,0.8759687,0.7967696,0.5537276,0.8966318,0.42994578049839505,0.8704095,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.051399999999999994,tanh,20,100,6,None,None
20,14.369205398005255,0.17871282,0.5,0.5,0.17446831,0.095556185,8.079656071882898,0.098679,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.1152,tanh,20,100,6,None,None
20,14.36920545721621,0.17924869,0.5,0.5,0.17446831,0.095556185,8.079656071882898,0.098679,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.057199999999999994,tanh,20,100,6,None,None
40,1.590518018528524,0.0,0.5,0.5,0.0,0.9044438,7.956109941494961,0.901321,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.1152,tanh,40,100,6,None,None
40,1.5905179993164587,0.0,0.5,0.5,0.0,0.9044438,7.9493359026678085,0.901321,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.06735,tanh,40,100,6,None,None
40,1.590517986875859,0.0,0.5,0.5,0.0,0.9044438,7.956109941494961,0.901321,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.14129999999999998,tanh,40,100,6,None,None
40,0.48764590149354115,0.42703438,0.91626763,0.7958632,0.59652615,0.8984432,0.3504142572277165,0.8344782,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.032549999999999996,tanh,40,100,6,None,None
20,14.369206359238417,0.181245,0.5,0.5,0.17475778,0.095556185,8.07298730015586,0.098679,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.09634999999999999,tanh,20,100,6,None,None
20,14.36920597121769,0.1802727,0.5,0.5,0.17446831,0.095556185,8.079656071882898,0.098679,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.09345,tanh,20,100,6,None,None
40,1.590517978844586,0.0,0.5,0.5,0.0,0.9044438,7.956109941494961,0.901321,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.12245,tanh,40,100,6,None,None
40,0.44834451717933543,0.4434936,0.91934204,0.7832736,0.62251425,0.9105576,0.3527865667131242,0.85112286,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.049949999999999994,tanh,40,100,6,None,None
40,14.36920546225544,0.17854236,0.5,0.5,0.17446831,0.095556185,8.079656071882898,0.098679,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.0833,tanh,40,100,6,None,None
20,0.40586146747735247,0.42606297,0.90287834,0.78404915,0.585706,0.89980185,0.3764075896084022,0.8417437,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.038349999999999995,tanh,20,100,6,None,None
20,0.35301110888566806,0.5487273,0.9031266,0.81077194,0.60195583,0.90342486,0.3781208242180325,0.9046235,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.0166,tanh,20,100,6,None,None
40,0.44469251276007415,0.41334468,0.81273407,0.78099984,0.49754652,0.8821398,0.49757898593637245,0.8258917,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.07605,tanh,40,100,6,None,None
20,0.3951570740857874,0.5192939,0.91836226,0.80167675,0.650985,0.91819984,0.3524086419614219,0.8910172,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.0195,tanh,20,100,6,None,None
40,14.369205301000074,0.17962922,0.5,0.5,0.17446831,0.095556185,8.079656071882898,0.098679,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.1181,tanh,40,100,6,None,None
40,14.369205351392376,0.17779452,0.5,0.5,0.17475778,0.095556185,8.07298730015586,0.098679,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.1471,tanh,40,100,6,None,None
20,1.5905179993164587,0.0,0.5,0.5,0.0,0.9044438,7.9493359026678085,0.901321,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.0775,tanh,20,100,6,None,None
20,1.5905180821488052,0.0,0.5,0.5,0.0,0.9044438,7.956109941494961,0.901321,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.0717,tanh,20,100,6,None,None
40,0.4233621521071682,0.46757647,0.8989637,0.78066826,0.60836124,0.91265213,0.3838371285594559,0.87582564,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.041249999999999995,tanh,40,100,6,None,None
20,0.4627328440645412,0.3888356,0.8851114,0.792894,0.54322064,0.8814605,0.4179985851614596,0.8146632,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.047049999999999995,tanh,20,100,6,None,None
40,14.369205478632939,0.17995952,0.5,0.5,0.17446831,0.095556185,8.079656071882898,0.098679,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.07894999999999999,tanh,40,100,6,None,None
40,0.36128180116769343,0.5455378,0.924475,0.7955793,0.6481966,0.91644496,0.3329916415557354,0.90726554,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.0282,tanh,40,100,6,None,None
20,14.36920581752117,0.18093708,0.5,0.5,0.17475778,0.095556185,8.07298730015586,0.098679,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.10794999999999999,tanh,20,100,6,None,None
40,0.4461969643870622,0.432636,0.91167474,0.7838023,0.5845273,0.8953298,0.3707565440356883,0.8410832,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.045599999999999995,tanh,40,100,6,None,None
20,14.369206370576684,0.18000644,0.5,0.5,0.17475778,0.095556185,8.07298730015586,0.098679,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.121,tanh,20,100,6,None,None
20,14.369205483672168,0.17934346,0.5,0.5,0.17446831,0.095556185,8.079656071882898,0.098679,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.07314999999999999,tanh,20,100,6,None,None
40,0.475055638833594,0.48859572,0.92412746,0.7897886,0.672115,0.92391735,0.35228711847472116,0.87291944,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.02965,tanh,40,100,6,None,None
20,0.3845338478900955,0.48752278,0.9064114,0.8031922,0.5976285,0.90042454,0.37164033368596805,0.87859976,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.02965,tanh,20,100,6,None,None
40,0.5152043726989111,0.44721353,0.9285803,0.79409266,0.656811,0.9238607,0.3373046430571707,0.8450462,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.032549999999999996,tanh,40,100,6,None,None
40,14.369205506348704,0.1832186,0.5,0.5,0.17475778,0.095556185,8.07298730015586,0.098679,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.1065,tanh,40,100,6,None,None
20,0.42547708273406387,0.48625323,0.92517114,0.7923672,0.62047976,0.90846306,0.33683092784618407,0.8696169,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.0079,tanh,20,100,6,None,None
20,0.4146684773925746,0.49186504,0.9009868,0.79508674,0.5796444,0.8965185,0.3794233919101027,0.88018495,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.032549999999999996,tanh,20,100,6,None,None
20,0.4181840420162977,0.51218057,0.88997406,0.8033416,0.57828635,0.9011605,0.3995797593550408,0.88797885,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.047049999999999995,tanh,20,100,6,None,None
20,14.369204894082234,0.17872508,0.5,0.5,0.17446831,0.095556185,8.079656071882898,0.098679,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.12825,tanh,20,100,6,None,None
40,0.4047836306230553,0.5001923,0.91953915,0.79969275,0.6161037,0.906878,0.34146440914019355,0.88467634,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.0224,tanh,40,100,6,None,None
40,1.5905179993164587,0.0,0.5,0.5,0.0,0.9044438,7.9493359026678085,0.901321,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.060099999999999994,tanh,40,100,6,None,None
40,14.369205510128127,0.17939289,0.5,0.5,0.17446831,0.095556185,8.079656071882898,0.098679,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.14855,tanh,40,100,6,None,None
20,1.5905179862459553,0.0,0.5,0.5,0.0,0.9044438,7.9493359026678085,0.901321,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.061549999999999994,tanh,20,100,6,None,None
20,14.369206258453813,0.17922297,0.5,0.5,0.17475778,0.095556185,8.07298730015586,0.098679,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.09925,tanh,20,100,6,None,None
20,14.369205787285788,0.17859101,0.5,0.5,0.17475778,0.095556185,8.07298730015586,0.098679,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.11954999999999999,tanh,20,100,6,None,None
40,1.59051783853352,0.0,0.5,0.5,0.0,0.9044438,7.956109941494961,0.901321,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.13985,tanh,40,100,6,None,None
20,1.5905178807370728,0.0,0.5,0.5,0.0,0.9044438,7.956109941494961,0.901321,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.14275,tanh,20,100,6,None,None
20,14.369205505088896,0.17884639,0.5,0.5,0.17446831,0.095556185,8.079656071882898,0.098679,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.1384,tanh,20,100,6,None,None
20,0.38507045657820554,0.5284502,0.9084868,0.7969454,0.60455346,0.9061421,0.36909652336643195,0.9003963,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.0166,tanh,20,100,6,None,None
40,1.5905178465647931,0.0,0.5,0.5,0.0,0.9044438,7.956109941494961,0.901321,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.1181,tanh,40,100,6,None,None
40,0.4856503645211576,0.43765926,0.9257256,0.7885742,0.6589862,0.92652136,0.33641794765093425,0.84531045,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.035449999999999995,tanh,40,100,6,None,None
40,14.369205602094079,0.18032733,0.5,0.5,0.17446831,0.095556185,8.079656071882898,0.098679,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.1036,tanh,40,100,6,None,None
20,1.5905180227803744,0.0,0.5,0.5,0.0,0.9044438,7.956109941494961,0.901321,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.14855,tanh,20,100,6,None,None
40,14.369205269504885,0.17938024,0.5,0.5,0.17475778,0.095556185,8.07298730015586,0.098679,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.0833,tanh,40,100,6,None,None
20,14.369205269504885,0.17938024,0.5,0.5,0.17475778,0.095556185,8.07298730015586,0.098679,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.060099999999999994,tanh,20,100,6,None,None
40,14.369205478632939,0.17880091,0.5,0.5,0.17446831,0.095556185,8.079656071882898,0.098679,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.12535,tanh,40,100,6,None,None
40,14.36920557059889,0.18185739,0.5,0.5,0.17475778,0.095556185,8.07298730015586,0.098679,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.0804,tanh,40,100,6,None,None
20,14.36920577594752,0.17985031,0.5,0.5,0.17475778,0.095556185,8.07298730015586,0.098679,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.12969999999999998,tanh,20,100,6,None,None
40,1.5905179260901448,0.0,0.5,0.5,0.0,0.9044438,7.956109941494961,0.901321,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.07314999999999999,tanh,40,100,6,None,None
40,14.369205226671427,0.1799575,0.5,0.5,0.17446831,0.095556185,8.079656071882898,0.098679,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.1094,tanh,40,100,6,None,None
20,14.369205752011178,0.18066557,0.5,0.5,0.17446831,0.095556185,8.079656071882898,0.098679,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.1094,tanh,20,100,6,None,None
20,0.37290669956012007,0.5502359,0.9049895,0.7959509,0.6112614,0.9111803,0.3827825529427559,0.9113606,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.0137,tanh,20,100,6,None,None
20,1.5905178656193824,0.0,0.5,0.5,0.0,0.9044438,7.956109941494961,0.901321,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.1239,tanh,20,100,6,None,None
40,0.4801988356022098,0.46410343,0.9337076,0.7968039,0.6675424,0.92884237,0.3171643263433933,0.8581242,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.01805,tanh,40,100,6,None,None
20,14.369206394513029,0.18109119,0.5,0.5,0.17475778,0.095556185,8.07298730015586,0.098679,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.08474999999999999,tanh,20,100,6,None,None
20,0.4164952585766463,0.45254314,0.8824466,0.8098242,0.51623595,0.8678743,0.4150513224061204,0.846103,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.052849999999999994,tanh,20,100,6,None,None
20,0.35698738394986684,0.53855705,0.9063159,0.801808,0.5966534,0.89883953,0.36900276154861755,0.8996037,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.0108,tanh,20,100,6,None,None
20,14.369205381627756,0.17972916,0.5,0.5,0.17446831,0.095556185,8.079656071882898,0.098679,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.08185,tanh,20,100,6,None,None
20,0.4910037524240335,0.4630773,0.87849736,0.79772305,0.5712275,0.89527315,0.4252714957591666,0.8622193,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.039799999999999995,tanh,20,100,6,None,None
20,14.369205505088896,0.18003243,0.5,0.5,0.17446831,0.095556185,8.079656071882898,0.098679,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.1123,tanh,20,100,6,None,None
40,14.369206300027463,0.18031779,0.5,0.5,0.17475778,0.095556185,8.07298730015586,0.098679,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.063,tanh,40,100,6,None,None
40,14.369205757050407,0.17885464,0.5,0.5,0.17446831,0.095556185,8.079656071882898,0.098679,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.09054999999999999,tanh,40,100,6,None,None
20,0.3487917223805008,0.50974023,0.89427507,0.79070437,0.55951315,0.8945372,0.40990706539309263,0.8951123,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.02675,tanh,20,100,6,None,None
40,0.682720669903245,0.002590673,0.34150767,0.3302007,0.0027100267,0.90455705,0.6926489696939977,0.9010568,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.045599999999999995,tanh,40,100,6,None,None
40,0.3601575857975681,0.5229908,0.9210982,0.77995205,0.61026764,0.90099066,0.3514872228680877,0.9003963,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.0253,tanh,40,100,6,None,None
20,14.369205799883863,0.17913541,0.5,0.5,0.17446831,0.095556185,8.079656071882898,0.098679,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.1239,tanh,20,100,6,None,None
20,0.41173982679292737,0.51869047,0.912288,0.79369295,0.618284,0.91027457,0.3570500925972008,0.8916777,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.01805,tanh,20,100,6,None,None
40,0.6815849213493075,0.0,0.5000679,0.50013816,0.0,0.9044438,0.6930693610342777,0.901321,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.044149999999999995,tanh,40,100,6,None,None
20,1.590517908452839,0.0,0.5,0.5,0.0,0.9044438,7.956109941494961,0.901321,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.1152,tanh,20,100,6,None,None
